location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20100201T1000,-3.9894714
20100201T1100,-1.4394714
20100201T1200,0.0005286578
20100201T1300,0.9605287
20100201T1400,1.7105286
20100201T1500,2.4305286
20100201T1600,0.5805287
20100201T1700,1.1605287
20100201T1800,-0.029471342
20100201T1900,-0.16947135
20100201T2000,-0.69947135
20100201T2100,-1.4894713
20100201T2200,-1.5294713
20100201T2300,-0.8094713
20100202T0000,-0.9894713
20100202T0100,-1.1394713
20100202T0200,-1.3994713
20100202T0300,-1.5394714
20100202T0400,-1.3094714
20100202T0500,-1.2794713
20100202T0600,-1.4994713
20100202T0700,-1.9594713
20100202T0800,-1.9994713
20100202T0900,-1.4294714
20100202T1000,-0.27947134
20100202T1100,1.5305287
20100202T1200,3.4405286
20100202T1300,4.3405285
20100202T1400,4.3305287
20100202T1500,3.6705287
20100202T1600,3.5205286
20100202T1700,3.7205286
20100202T1800,3.6905286
20100202T1900,2.8505285
20100202T2000,2.6505284
20100202T2100,3.0105286
20100202T2200,3.2805285
20100202T2300,2.6205285
20100203T0000,2.3505285
20100203T0100,3.0105286
20100203T0200,3.5205286
20100203T0300,3.1205285
20100203T0400,2.9205287
20100203T0500,3.5105286
20100203T0600,4.4205284
20100203T0700,4.4505286
20100203T0800,4.1305285
20100203T0900,4.1305285
20100203T1000,4.8405285
20100203T1100,5.1405287
20100203T1200,5.9405284
20100203T1300,6.2605286
20100203T1400,6.5905285
20100203T1500,6.8605285
20100203T1600,7.1605287
20100203T1700,7.0705285
20100203T1800,6.7405286
20100203T1900,6.2405286
20100203T2000,5.8905287
20100203T2100,5.1605287
20100203T2200,4.2205286
20100203T2300,3.7305286
20100204T0000,3.6405284
20100204T0100,4.2205286
20100204T0200,4.8905287
20100204T0300,3.1905286
20100204T0400,1.9405286
20100204T0500,1.3405286
20100204T0600,0.14052865
